name,slug,category,tvl_usd,chains,website,twitter
StakeWise V2,stakewise-v2,Liquid Staking,790975242.84,"Ethereum, xDai",https://stakewise.io/,stakewise_io
Function FBTC,function-fbtc,Bridge,766296593.35,Bitcoin,https://www.fxn.xyz,FunctionBTC
Binance Staked SOL,binance-staked-sol,Liquid Staking,753062821.78,Solana,https://www.binance.com/en/solana-staking,binance
Convex Finance,convex-finance,Yield,711154675.42,"Ethereum, Fraxtal, Arbitrum, Polygon",https://www.convexfinance.com/,ConvexFinance
SolvBTC,solvbtc,Bridge,705870860.0,"Bitcoin, Binance, Ethereum, Solana, Base, Avalanche",https://app.solv.finance/solvbtc,SolvProtocol
Aster Bridge,aster-bridge,Bridge,659879824.77,"Binance, Ethereum, Arbitrum, Solana, Scroll",https://www.asterdex.com/en/referral/c6eF10,Aster_DEX
USDD,usdd,CDP,605365164.31,"Tron, Ethereum, Binance",https://usdd.io/,usddio
mETH Protocol,meth-protocol,Liquid Staking,591558969.64,Ethereum,https://www.methprotocol.xyz/,mETHProtocol
Liquid Collective,liquid-collective,Liquid Staking,565947347.33,Ethereum,https://liquidcollective.io,liquid_col
Euler V2,euler-v2,Lending,537500325.96,"Ethereum, Plasma, Avalanche, Arbitrum, Monad, BOB",https://www.euler.finance,eulerfinance
Unit,unit,Bridge,469056768.97,"Bitcoin, Ethereum, Solana, Plasma, Monad",https://hyperunit.xyz/deposit,unitxyz
Merlins Seal,merlins-seal,Bridge,439984704.19,"Bitcoin, Zkfair, Arbitrum, Ethereum",https://merlinchain.io/bridge/staking,MerlinLayer2
Fira,fira,Lending,434584864.92,Ethereum,https://www.fira.money/,Fira_Lend
Lorenzo enzoBTC,lorenzo-enzobtc,Bridge,412129092.03,Bitcoin,https://www.lorenzo-protocol.xyz,LorenzoProtocol
Free Protocol,free-protocol,Bridge,412056316.85,"Merlin, Ethereum, Hemi, Arbitrum, Binance, Manta",https://free.tech/,FreeLayer2
Nexus BTC,nexus-btc,Bridge,408461754.49,Bitcoin,https://www.matrixport.com/nexusbtc,Matrixport_EN
Avalon USDa,avalon-usda,CDP,377746300.02,"Binance, Ethereum, Klaytn, Berachain, Sonic, Mantle",https://www.avalonfinance.xyz,avalonfinance_
Drift Trade,drift-trade,Derivatives,334809747.68,Solana,https://app.drift.trade/ref/defillama,DriftProtocol
Stader,stader,Liquid Staking,328811132.67,"Ethereum, Hedera, Binance, Fantom, Terra2, Near",https://staderlabs.com,staderlabs
Coinbase Wrapped Staked ETH,coinbase-wrapped-staked-eth,Liquid Staking,283954481.62,Ethereum,https://www.coinbase.com/price/coinbase-wrapped-staked-eth,coinbase
Kraken Bitcoin,kraken-bitcoin,Bridge,282277402.09,Bitcoin,https://www.kraken.com/kbtc,krakenfx
GMX V2 Perps,gmx-v2-perps,Derivatives,274638673.32,"Arbitrum, Avalanche, Botanix",https://gmx.io/#/?ref=defillama,GMX_IO
Marinade Liquid Staking,marinade-liquid-staking,Liquid Staking,265279343.05,Solana,https://marinade.finance,MarinadeFinance
Lombard BTC.b,lombard-btc.b,Bridge,260519703.15,Bitcoin,https://www.lombard.finance/app/stake/?referrer=ssybnl,Lombard_Finance
Multipli.fi,multipli.fi,Yield,233351766.18,"Ethereum, Base, Binance, Avalanche",https://app.multipli.fi?referral_code=Y7YQDT,multiplifi
Benqi Staked Avax,benqi-staked-avax,Liquid Staking,224275727.57,Avalanche,https://app.benqi.fi/savax,BenqiFinance
Dolomite,dolomite,Lending,222166073.0,"Ethereum, Berachain, Arbitrum, Botanix, Polygon zkEVM, Mantle",https://dolomite.io,Dolomite_io
Extended,extended,Derivatives,216424552.55,"Starknet, Ethereum",https://app.extended.exchange/join/LLAMAS123,extendedapp
cap,cap,Lending,210735051.98,Ethereum,https://cap.app/,capmoney_
Connext,connext,Bridge,199650701.83,"Ethereum, Arbitrum, Linea, Binance, Polygon, Optimism",https://connext.network/,EverclearOrg
edgeX Bridge,edgex-bridge,Bridge,182883708.63,"Ethereum, Arbitrum, Binance",https://pro.edgex.exchange/referral/196451583,edgeX_exchange
infiniFi,infinifi,Yield,173478464.43,Ethereum,https://infinifi.xyz?ref=XXKTY1S9,infiniFi
Paradex Bridge,paradex-bridge,Bridge,169847300.48,Ethereum,https://app.paradex.trade/r/defillama,tradeparadex
Suilend,suilend,Lending,165681800.67,Sui,https://www.suilend.fi,suilendprotocol
Drift Staked SOL,drift-staked-sol,Liquid Staking,162507337.36,Solana,https://app.drift.trade/ref/defillama,DriftProtocol
Liquity V1,liquity-v1,CDP,153900016.68,Ethereum,https://www.liquity.org/,LiquityProtocol
Compound V2,compound-v2,Lending,153657558.92,Ethereum,https://compound.finance,compoundfinance
Strata Markets,strata-markets,Yield,150087794.73,Ethereum,https://strata.money,strata_markets
Benqi Lending,benqi-lending,Lending,149933370.32,Avalanche,https://benqi.fi,BenqiFinance
exSat Staking BTC,exsat-staking-btc,Bridge,147324627.41,Bitcoin,https://esbtc.exsat.network/,exSatNetwork
NAVI Lending,navi-lending,Lending,142579616.21,Sui,https://www.naviprotocol.io/,navi_protocol
Axelar,axelar,Bridge,142056649.12,"Ethereum, Binance, Ripple, Optimism, Arbitrum, Fantom",https://axelar.network,axelar
Stake DAO,stake-dao,Yield,141373817.26,"Ethereum, Base, Fraxtal, Arbitrum, Sonic, Avalanche",https://stakedao.org/,StakeDAOHQ
Aave V2,aave-v2,Lending,135828161.45,"Ethereum, Polygon, Avalanche",https://aave.com,aave
Frax Ether,frax-ether,Liquid Staking,128155561.26,"Ethereum, Fraxtal",https://frax.com/,fraxfinance
Aura,aura,Yield,118224522.13,"Ethereum, Base, Arbitrum, xDai, Optimism, Polygon",https://aura.finance,aurafinance
Bybit Staked SOL,bybit-staked-sol,Liquid Staking,115091557.07,Solana,https://www.bybit.com/en/web3/staking/BybitSOL,Bybit_Web3
Phantom SOL,phantom-sol,Liquid Staking,108676445.23,Solana,https://phantom.com/,phantom
The Vault Liquid Staking,the-vault-liquid-staking,Liquid Staking,107161883.49,Solana,https://thevault.finance,thevaultfinance
JPool,jpool,Liquid Staking,106749972.88,Solana,https://jpool.one,JPoolSolana
Exponent,exponent,Yield,99892749.31,Solana,https://www.exponent.finance/income,ExponentFinance
Capyfi,capyfi,Lending,97526113.52,"Ethereum, World Chain, LaChain Network",https://capyfi.com/,CapyFi_Protocol
Multichain,multichain,Bridge,92697516.75,"Binance, Ethereum, Fantom, Polygon, Arbitrum, Klaytn",https://multichain.org/,MultichainOrg
Grvt Bridge,grvt-bridge,Bridge,91626003.05,Ethereum,https://grvt.io/?ref=WCDISXW,grvt_io
Avantis,avantis,Derivatives,90070969.51,Base,https://www.avantisfi.com/referral?code=DefiLlama,avantisfi
Project 0,project-0,Lending,88730573.44,Solana,https://app.0.xyz/refer/fGgLC0EyHGUYI2keFnQzPGcWb1QSD1Y5Z1IABU42JH0sOHQkIFkNHmkGEUM,project0
BlazeStake,blazestake,Liquid Staking,88407793.47,Solana,https://stake.solblaze.org/,solblaze_org
Liquity V2,liquity-v2,CDP,87062512.51,Ethereum,https://www.liquity.org/,LiquityProtocol
Bifrost Liquid Staking,bifrost-liquid-staking,Liquid Staking,86247164.93,"Bifrost, Ethereum, Astar, Manta, Filecoin",https://bifrost.io/,Bifrost
Save,save,Lending,83491569.8,"Solana, Eclipse",https://www.save.finance/,save_finance
Lorenzo sUSD1+,lorenzo-susd1+,Yield,79885882.47,"Binance, Ethereum",https://lorenzo-protocol.xyz/home,LorenzoProtocol
AUTOfinance,autofinance,Yield,78461538.66,"Ethereum, Base, Arbitrum, Plasma, Sonic",https://www.auto.finance,autopools
Curve LlamaLend,curve-llamalend,Lending,77163401.78,"Ethereum, Arbitrum, Fraxtal, Optimism",https://www.curve.finance/lend/ethereum/markets/,CurveFinance
Loopscale,loopscale,Lending,75971157.7,Solana,https://loop.sl/i/AVxMN,Loopscale
Ostium,ostium,Derivatives,75963678.44,Arbitrum,https://www.ostium.io/,OstiumLabs
APX Bridge,apx-bridge,Bridge,72993503.91,"Binance, Ethereum, Arbitrum, Manta, Base, Op_Bnb",https://www.asterdex.com/en/referral/c6eF10,APX_Finance
Edgevana,edgevana,Liquid Staking,70926755.42,Solana,https://www.edgevana.com,edgevana
SpringSui,springsui,Liquid Staking,70858512.71,Sui,https://springsui.com/,springsui_
Helius Staked SOL,helius-staked-sol,Liquid Staking,69822969.87,Solana,https://www.helius.dev,heliuslabs
marginfi Lending,marginfi-lending,Lending,66407758.12,Solana,https://app.marginfi.com,marginfi
AlphaLend,alphalend,Lending,64876193.23,Sui,https://trade.bluefin.io/lend,bluefinapp
Frankencoin,frankencoin,CDP,64408975.06,Ethereum,https://frankencoin.com,frankencoinzchf
JagPool Staked SOL,jagpool-staked-sol,Liquid Staking,63773208.17,Solana,https://www.jagpool.xyz/,JagPool_xyz
SoDEX Bridge,sodex-bridge,Bridge,63182010.99,"Base, Arbitrum, Ethereum, Bitcoin, Binance, Ripple",https://ssi.sosovalue.com/share/MAG7.ssi/0TC050BY?tid=ssi-invite-share-0TC050BY,sodex_official
Seamless V2,seamless-v2,Lending,62783080.18,"Ethereum, Base",https://www.seamlessprotocol.com,SeamlessFi
Derive V2,derive-v2,Derivatives,61641858.74,"Optimism, Ethereum, Base, Arbitrum, Blast, Mode",https://app.derive.xyz?ref=defillama,derivexyz
OKX xBTC,okx-xbtc,Bridge,61078000.01,Bitcoin,https://www.okx.com/xbtc#transparency,okx
stake.link liquid,stake.link-liquid,Liquid Staking,58940350.74,Ethereum,https://stake.link/staking-pools,stakedotlink
Reservoir Protocol,reservoir-protocol,CDP,58281544.74,"Ethereum, Plasma, Berachain, World Chain, Base, Arbitrum",https://app.reservoir.xyz/leaderboard/?referral_code=4bf702ff7d,reservoir_xyz
