project,website,twitter,category,tvl_usd,signal,message_seed,status
StakeWise V2,https://stakewise.io/,stakewise_io,Liquid Staking,790975242.84,"Liquid Staking protocol on Ethereum with TVL $790,975,243","Noticed StakeWise V2 (Liquid Staking protocol on Ethereum with TVL $790,975,243). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Function FBTC,https://www.fxn.xyz,FunctionBTC,Bridge,766296593.35,"Bridge protocol on Bitcoin with TVL $766,296,593","Noticed Function FBTC (Bridge protocol on Bitcoin with TVL $766,296,593). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Binance Staked SOL,https://www.binance.com/en/solana-staking,binance,Liquid Staking,753062821.78,"Liquid Staking protocol on Solana with TVL $753,062,822","Noticed Binance Staked SOL (Liquid Staking protocol on Solana with TVL $753,062,822). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Convex Finance,https://www.convexfinance.com/,ConvexFinance,Yield,711154675.42,"Yield protocol on Ethereum with TVL $711,154,675","Noticed Convex Finance (Yield protocol on Ethereum with TVL $711,154,675). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
SolvBTC,https://app.solv.finance/solvbtc,SolvProtocol,Bridge,705870860.0,"Bridge protocol on Bitcoin with TVL $705,870,860","Noticed SolvBTC (Bridge protocol on Bitcoin with TVL $705,870,860). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Aster Bridge,https://www.asterdex.com/en/referral/c6eF10,Aster_DEX,Bridge,659879824.77,"Bridge protocol on Binance with TVL $659,879,825","Noticed Aster Bridge (Bridge protocol on Binance with TVL $659,879,825). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
USDD,https://usdd.io/,usddio,CDP,605365164.31,"CDP protocol on Tron with TVL $605,365,164","Noticed USDD (CDP protocol on Tron with TVL $605,365,164). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
mETH Protocol,https://www.methprotocol.xyz/,mETHProtocol,Liquid Staking,591558969.64,"Liquid Staking protocol on Ethereum with TVL $591,558,970","Noticed mETH Protocol (Liquid Staking protocol on Ethereum with TVL $591,558,970). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Liquid Collective,https://liquidcollective.io,liquid_col,Liquid Staking,565947347.33,"Liquid Staking protocol on Ethereum with TVL $565,947,347","Noticed Liquid Collective (Liquid Staking protocol on Ethereum with TVL $565,947,347). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Euler V2,https://www.euler.finance,eulerfinance,Lending,537500325.96,"Lending protocol on Ethereum with TVL $537,500,326","Noticed Euler V2 (Lending protocol on Ethereum with TVL $537,500,326). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Unit,https://hyperunit.xyz/deposit,unitxyz,Bridge,469056768.97,"Bridge protocol on Bitcoin with TVL $469,056,769","Noticed Unit (Bridge protocol on Bitcoin with TVL $469,056,769). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Merlins Seal,https://merlinchain.io/bridge/staking,MerlinLayer2,Bridge,439984704.19,"Bridge protocol on Bitcoin with TVL $439,984,704","Noticed Merlins Seal (Bridge protocol on Bitcoin with TVL $439,984,704). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Fira,https://www.fira.money/,Fira_Lend,Lending,434584864.92,"Lending protocol on Ethereum with TVL $434,584,865","Noticed Fira (Lending protocol on Ethereum with TVL $434,584,865). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Lorenzo enzoBTC,https://www.lorenzo-protocol.xyz,LorenzoProtocol,Bridge,412129092.03,"Bridge protocol on Bitcoin with TVL $412,129,092","Noticed Lorenzo enzoBTC (Bridge protocol on Bitcoin with TVL $412,129,092). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Free Protocol,https://free.tech/,FreeLayer2,Bridge,412056316.85,"Bridge protocol on Merlin with TVL $412,056,317","Noticed Free Protocol (Bridge protocol on Merlin with TVL $412,056,317). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Nexus BTC,https://www.matrixport.com/nexusbtc,Matrixport_EN,Bridge,408461754.49,"Bridge protocol on Bitcoin with TVL $408,461,754","Noticed Nexus BTC (Bridge protocol on Bitcoin with TVL $408,461,754). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
Avalon USDa,https://www.avalonfinance.xyz,avalonfinance_,CDP,377746300.02,"CDP protocol on Binance with TVL $377,746,300","Noticed Avalon USDa (CDP protocol on Binance with TVL $377,746,300). We can deliver a 48h on-chain growth + tokenomics audit with ranked actions.",READY
